ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
396055521,Photo,Red-tailed Hawk,Buteo jamaicensis,,Barry Spolter,2021-11-16,2021,11,16,915,United States,US-CA-079,California,San Luis Obispo,Laguna Lake,35.2656069,-120.6903817,"",,Unspecified,"","",,,,,,,S97672767,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,3756,2397
396055501,Photo,Red-tailed Hawk,Buteo jamaicensis,,Barry Spolter,2021-11-16,2021,11,16,915,United States,US-CA-079,California,San Luis Obispo,Laguna Lake,35.2656069,-120.6903817,"",,Unspecified,"","",,,,,,,S97672767,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,2888,2071
396055161,Photo,Red-tailed Hawk,Buteo jamaicensis,,Leslie S,2021-12-14,2021,12,14,1540,United States,US-CO-013,Colorado,Boulder,63rd and Diagonal Hwy,40.0763223,-105.2067518,"",,Unspecified,"","",,,,,,,S98900865,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,910,1213
396055141,Photo,Red-tailed Hawk,Buteo jamaicensis,,Susan Wood,2021-12-14,2021,12,14,1418,United States,US-AL-125,Alabama,Tuscaloosa,University of Alabama Arboretum,33.1945625,-87.4808264,"",,Unspecified,"","",,,,,,,S98900842,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,729,1094
396055131,Photo,Red-tailed Hawk,Buteo jamaicensis,,Susan Wood,2021-12-14,2021,12,14,1418,United States,US-AL-125,Alabama,Tuscaloosa,University of Alabama Arboretum,33.1945625,-87.4808264,"",,Unspecified,"","",,,,,,,S98900842,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,469,704
396055121,Photo,Red-tailed Hawk,Buteo jamaicensis,,Susan Wood,2021-12-14,2021,12,14,1418,United States,US-AL-125,Alabama,Tuscaloosa,University of Alabama Arboretum,33.1945625,-87.4808264,"",,Unspecified,"","",,,,,,,S98900842,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,491,737
396055111,Photo,Red-tailed Hawk,Buteo jamaicensis,,Susan Wood,2021-12-14,2021,12,14,1418,United States,US-AL-125,Alabama,Tuscaloosa,University of Alabama Arboretum,33.1945625,-87.4808264,"",,Unspecified,"","",,,,,,,S98900842,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,677,1016
396055101,Photo,Red-tailed Hawk,Buteo jamaicensis,,Susan Wood,2021-12-14,2021,12,14,1418,United States,US-AL-125,Alabama,Tuscaloosa,University of Alabama Arboretum,33.1945625,-87.4808264,"",,Unspecified,"","",,,,,,,S98900842,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,465,698
396055091,Photo,Red-tailed Hawk,Buteo jamaicensis,,Susan Wood,2021-12-14,2021,12,14,1418,United States,US-AL-125,Alabama,Tuscaloosa,University of Alabama Arboretum,33.1945625,-87.4808264,"",,Unspecified,"","",,,,,,,S98900842,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,544,816
396048381,Photo,Red-tailed Hawk,Buteo jamaicensis,,Sharon Freeman,2021-12-14,2021,12,14,1430,Canada,CA-ON-TO,Ontario,Toronto,Toronto--James Gardens,43.6710379,-79.5150518,"",,Unspecified,"","",,,,,,,S98900187,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,3264,4928
396043731,Photo,Red-tailed Hawk,Buteo jamaicensis,,Michael I Christie,2021-11-25,2021,11,25,1215,United States,US-CA-083,California,Santa Barbara,Salisbury Potrero,34.8182472,-119.7094470,Adult – 1,Flying,Unspecified,"","",,,,,,,S98136761,"",,,"Red-tailed Hawk, Salisbury Potrero",,Buteo jamaicensis,rethaw,Species,8094,,2.00,1,"",863,1293
396041091,Photo,Red-tailed Hawk,Buteo jamaicensis,,Cyndy Hardaker,2021-12-14,2021,12,14,1020,United States,US-LA-073,Louisiana,Ouachita,Toney Bayou Rd,32.4730487,-92.1286654,"",,Unspecified,"","",,,,,,,S98899651,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1118,876
396041081,Photo,Red-tailed Hawk,Buteo jamaicensis,,Cyndy Hardaker,2021-12-14,2021,12,14,1020,United States,US-LA-073,Louisiana,Ouachita,Toney Bayou Rd,32.4730487,-92.1286654,"",,Unspecified,"","",,,,,,,S98899651,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,646,894
