ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
183111271,Photo,Sharp-shinned Hawk,Accipiter striatus,,Kyle Tansley,2019-10-20,2019,10,20,704,United States,US-VT-007,Vermont,Chittenden,Wolcott Family Natural Area,44.5506238,-73.1388134,"",,Unspecified,"","",,,,,,,S60779946,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.89,107,,2405,3847
277340471,Photo,Sharp-shinned Hawk,Accipiter striatus,,Henry Jerng,2020-11-04,2020,11,4,703,United States,US-TX-157,Texas,Fort Bend,Imperial Trails and Retention Pond,29.6358530,-95.6450240,"",,Unspecified,"","",,,,,,,S75824545,"",,,,"Appeared out of nowhere and scared away a flock of least sandpipers peacefully drinking at the pond's edge.  Got great looks on this bird in flight showing its sharp-shinned hawk features:  notched tail, wrist held forward in flight, and small head that barely extend past wrists.  This is an adult bird with the ""hooded"" appearance of Sharp-shinned, with both crown and back of the neck being dark.",Accipiter striatus,shshaw,Species,7896,,4.90,72,,1750,2625
373195831,Photo,Sharp-shinned Hawk,Accipiter striatus,,Mason Maron,2021-09-26,2021,9,26,946,United States,US-WA-007,Washington,Chelan,Chelan Ridge Hawk Watch,48.0208526,-120.1032091,Immature – 1,"",Unspecified,"","",,,,,,,S95213796,"",,,banded,All banded,Accipiter striatus,shshaw,Species,7896,,4.76,63,In-hand,2573,3859
46627761,Photo,Sharp-shinned Hawk,Accipiter striatus,,Matt Davis,2017-01-26,2017,1,26,1400,United States,US-CA-113,California,Yolo,Yolo Bypass Wildlife Area,38.5517890,-121.6208018,"",,Unspecified,"","",,,,,,,S33955758,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.74,58,,1446,2016
237556821,Photo,Sharp-shinned Hawk,Accipiter striatus,,Jerry Liguori,2012-09-14,2012,9,14,0,United States,US-NV-007,Nevada,Elko,Goshutes Hawkwatch,40.4253985,-114.2709489,Adult – 1,,Unspecified,"","",,,,,,,S64828119,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.86,29,,748,1200
195708681,Photo,Sharp-shinned Hawk,Accipiter striatus,,Kyle Tansley,2019-12-28,2019,12,28,730,Canada,CA-QC-MR,Quebec,Montréal,Jardin botanique de Montréal (accès restreint),45.5596562,-73.5626078,"",,Unspecified,"","",,,,,,,S62718096,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.62,79,,2506,4009
63342731,Photo,Sharp-shinned Hawk,Accipiter striatus,,Simon Best,2015-02-02,2015,2,2,1430,United States,US-MD-005,Maryland,Baltimore,Home,39.5117224,-76.6940975,"",,Unspecified,"","",,,,,,,S21657286,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.72,43,,958,821
48356811,Photo,Sharp-shinned Hawk,Accipiter striatus,,Nick Saunders,2017-02-14,2017,2,14,1745,Canada,CA-SK-EL,Saskatchewan,Saskatoon,"Backyard, McConnell Avenue",52.0952200,-106.6619220,Juvenile,,Unspecified,"","",,,,,,,S34370803,"",,,"The same as with the adult bird, if I move slowly and don't make direct eye contact, they can be quite accommodating, allowing for a close photograph. Either that, or they are just used to me. Here is the younger bird.","Two individuals. Both previously photographed.  An adult bird with red eyes and a dark mantle, and a yellow eyed juvenile with white blotches on its head and mantle. Photos taken today.",Accipiter striatus,shshaw,Species,7896,,4.69,49,,990,887
305622201,Photo,Sharp-shinned Hawk,Accipiter striatus,,Karen Kreiger,2021-01-23,2021,1,23,1300,United States,US-CA-069,California,San Benito,Lonoak Rd.--east of Big Bend to Lewis Cr. bridge (SBT Co.),36.2850958,-120.9633951,"",,Unspecified,"","",,,,,,,S80676049,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.83,29,,2941,4419
210381271,Photo,Sharp-shinned Hawk,Accipiter striatus,,Jim Merritt,2020-02-19,2020,2,19,816,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S64754998,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.65,57,,10000,9112
366932371,Photo,Sharp-shinned Hawk,Accipiter striatus,,Mason Maron,2021-09-05,2021,9,5,1202,United States,US-ID-001,Idaho,Ada,Intermountain Bird Observatory at Lucky Peak,43.6056275,-116.0600716,Immature Male – 1,"",Unspecified,"","",,,,,,,S94228018,"",,,,,Accipiter striatus,shshaw,Species,7896,,4.62,60,In-hand,2803,4983
366104191,Photo,Sharp-shinned Hawk,Accipiter striatus,,Nick Saunders,2021-09-02,2021,9,2,806,Canada,CA-SK-EL,Saskatchewan,Saskatoon,"Backyard, McConnell Avenue",52.0952553,-106.6622043,"",,Unspecified,"","",,,,,,,S94093627,"",,,,Juvenile. Chased the MODO,Accipiter striatus,shshaw,Species,7896,,4.80,30,,909,1200
263260331,Photo,Sharp-shinned Hawk,Accipiter striatus,,Annie Lavoie,2020-09-16,2020,9,16,1323,Canada,CA-QC-FS,Quebec,Le Fjord-du-Saguenay,"Saint-Félix-d'Otis - Chalet",48.2939438,-70.6373638,"",,Unspecified,"","",,,,,,,S73682300,"",,,,"Depuis 10 h ce matin qu'il essaie d'attraper un geai bleu, il manque de technique le jeune , il fait des piqués vers sa proie en lâchant des cris, de temps à autre il frôle sa cible, mais toujours sans succès. Habituellement en la présence d'un accipiter les geais sont sur le qui-vive et sonnent l'alarme, mais là aucun signe de stress, ils continuent à s'alimenter aux mangeoires.",Accipiter striatus,shshaw,Species,7896,,4.90,21,,3712,5568
